Observer ,Year,Month,Sunday,Site,Family,Genus,Species,Fork length,Coeff a,Coeff b,Weight (g)
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.13635,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,21.15813,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,19.21267,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.71353,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,21.27711,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,21.21523,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.06608,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,19.92247,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.94735,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,21.56756,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,21.4746,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,19.34945,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,21.59319,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.78361,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,21.01224,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,21.44655,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,19.78361,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,19.8831,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,19.26147,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.35602,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.26478,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,19.57008,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,19.96707,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,18.16833,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,22.3543,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.02432,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,19.31184,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,21.99266,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,21.97881,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,21.85218,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.10638,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.76845,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.94991,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,19.88609,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.24023,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,23.31154,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,lituratus,20.41111,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,hexacanthus,40.55272,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,hexacanthus,30.04384,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,hexacanthus,40.37148,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,hexacanthus,39.40256,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,hexacanthus,32.82521,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Naso,hexacanthus,52.36029,,,
Kamal,2012,April,1,Papeete market,Acanthuridae,Acanthurus ,nigricauda,25.38608,,,
Kamal,2012,April,1,Papeete market,Carangidae,Carangoides ,ferdau,28.96019,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,16.54249,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,15.29064,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,16.9556,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,18.45421,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,19.6956,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,16.22748,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,16.97283,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,17.56745,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,18.50138,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,21.79491,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,24.77898,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,18.05714,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,20.39849,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,17.76646,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,16.96774,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,18.81671,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,20.16934,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,22.79405,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,17.46455,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,15.98395,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,17.1672,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,20.29095,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,berndti,21.54102,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,20.12259,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,19.20383,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,16.79355,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,21.60572,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,18.37884,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,20.27354,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,19.7143,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,19.89653,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,16.97892,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,16.71751,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,17.01357,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,17.11808,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,15.8587,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,14.64241,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,15.06319,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,17.46196,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,17.1023,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,15.9377,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,18.76845,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,19.62515,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,17.488,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,15.22538,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,16.46001,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,16.70917,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,16.14384,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,15.13628,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,16.43428,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Myripristis,sp,15.3283,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.31663,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.09475,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.19138,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.87113,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.97715,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.16942,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.5654,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.51568,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.76341,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.47641,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.82184,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.63228,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,16.0375,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,18.30019,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.60838,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,16.74402,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,20.14501,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,19.35636,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,17.35754,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,16.77165,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.75507,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,18.16938,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,18.49098,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.22082,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.11107,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,15.01357,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,16.31626,,,
Kamal,2012,April,1,Papeete market,Holocentridae,Sargocentron ,tiere,19.5789,,,
Kamal,2012,April,1,Papeete market,Kyphosidae,Kyphosus ,cinerascens,27.11989,,,
Kamal,2012,April,1,Papeete market,Kyphosidae,Kyphosus ,cinerascens,33.6606,,,
Kamal,2012,April,1,Papeete market,Kyphosidae,Kyphosus ,cinerascens,33.09077,,,
Kamal,2012,April,1,Papeete market,Kyphosidae,Kyphosus ,cinerascens,33.71726,,,
Kamal,2012,April,1,Papeete market,Kyphosidae,Kyphosus ,cinerascens,38.20081,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,22.68795,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,22.01249,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,23.4314,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,23.07776,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,22.55498,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,22.74965,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,26.45774,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,26.68714,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,22.08529,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,22.1841,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,20.55792,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,24.17608,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,21.11896,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,23.82621,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,23.28407,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,20.94624,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,21.52734,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,22.03083,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,21.99671,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,25.14417,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,24.64508,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,25.06685,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,24.17412,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,25.02938,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,25.95724,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,24.35582,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,24.3865,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,24.59801,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,21.20039,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,22.95545,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,21.62269,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,19.95208,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,27.58946,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,25.12142,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,23.97309,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,17.98485,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,21.90348,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,22.93864,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,22.65982,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,26.77369,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,24.64567,,,
Kamal,2012,April,1,Papeete market,Labridae,Cheilinus,trilobatus,21.72036,,,
Kamal,2012,April,1,Papeete market,Lethrinidae,Lethrinus,xanthochilus,26.3289,,,
Kamal,2012,April,1,Papeete market,Lethrinidae,Monotaxis ,grandoculis,20.91228,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,21.07587,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,19.14824,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,22.94271,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,20.91313,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,22.71018,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,19.29662,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,21.92379,,, 
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,23.06118,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,23.97173,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,21.52043,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,28.15784,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,21.13473,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,21.126,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,18.04818,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,20.22043,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,22.78511,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,22.13468,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,23.85851,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,18.45264,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,19.77434,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,kasmira,21.34419,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,fulvus,21.43372,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,fulvus,20.86674,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,fulvus,20.74833,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,fulvus,20.53745,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,fulvus,20.04562,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,fulvus,27.20974,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,fulvus,15.4253,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,fulvus,18.79703,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,fulvus,20.23992,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,fulvus,20.01464,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,gibbus,21.09334,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,gibbus,32.67986,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Lutjanus,gibbus,29.54342,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Aphareus ,rutilans,29.83224,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Aphareus ,rutilans,27.0573,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Pristipomoides,zonatus,21.75772,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Pristipomoides,zonatus,23.14705,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Pristipomoides,zonatus,31.32202,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Pristipomoides,zonatus,33.14481,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Etelis,carbunculus,23.87199,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Etelis,carbunculus,24.25855,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Etelis,carbunculus,32.53481,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Etelis,carbunculus,29.74614,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Etelis,carbunculus,30.45512,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Etelis,carbunculus,34.68434,,,
Kamal,2012,April,1,Papeete market,Lutjanidae,Etelis,carbunculus,36.53664,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,20.91919,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,25.27549,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,30.25037,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,30.748,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,34.18542,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,21.51584,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,29.70377,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,34.10242,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,36.72341,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,32.50027,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,26.48805,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,31.33757,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,29.07912,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,32.00542,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,25.74577,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,28.42115,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,27.02282,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,27.89083,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,28.27421,,,
Kamal,2012,April,1,Papeete market,Mugilidae,Ellochelon,vaigiensis,26.32862,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,barberinus,25.20621,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,barberinus,23.16578,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,barberinus,19.72236,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,barberinus,33.59897,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,barberinus,28.53485,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,barberinus,30.08243,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,barberinus,33.02385,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,barberinus,29.16285,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,barberinus,26.58724,,,
Kamal,2012,April,1,Papeete market,Mullidae,Mulloidichthys,vanicolensis,21.2415,,,
Kamal,2012,April,1,Papeete market,Mullidae,Mulloidichthys,vanicolensis,19.15149,,,
Kamal,2012,April,1,Papeete market,Mullidae,Mulloidichthys,vanicolensis,22.21502,,,
Kamal,2012,April,1,Papeete market,Mullidae,Mulloidichthys,flavolineatus,22.11881,,,
Kamal,2012,April,1,Papeete market,Mullidae,Mulloidichthys,flavolineatus,23.069,,,
Kamal,2012,April,1,Papeete market,Mullidae,Mulloidichthys,flavolineatus,20.15513,,,
Kamal,2012,April,1,Papeete market,Mullidae,Mulloidichthys,flavolineatus,22.35069,,,
Kamal,2012,April,1,Papeete market,Mullidae,Mulloidichthys,flavolineatus,23.89468,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,20.74438,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,18.95981,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,22.9993,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,20.86897,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,19.16562,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,17.92484,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,22.22495,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,20.43291,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,22.242,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,21.77947,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,19.37556,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,21.11422,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,20.93324,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,21.63596,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,20.90801,,,
Kamal,2012,April,1,Papeete market,Mullidae,Parupeneus ,multifasciatus,22.32479,,,
Kamal,2012,April,1,Papeete market,Priacanthidae,Priacanthus,hamrur,22.5871,,,
Kamal,2012,April,1,Papeete market,Priacanthidae,Priacanthus,hamrur,23.84199,,,
Kamal,2012,April,1,Papeete market,Priacanthidae,Priacanthus,hamrur,29.42499,,,
